Pathway	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	0.0340291	0	0.0273192	0.0448204	0.054117	0.145275	0.00596957	0.0378919	0	0.0340562	0	0.0344697	0.0900397	0.0622806	0.12772	0	0.00518967	0.0382333	0.0132918	0.0217585	0.0250612	0.000795159	0.0160084	0.00142307	0.00358999	0.00699679	0.0266615	0.0049465	0.0771417	0.01116	0.00386175	0.0418724	0	0.00375127	0.0961111	0.0522554	0.0135852	0.0192512	0.0460049	0.00415166	0.0191153	0.00670443	0.0252137	0.00553979	0.0270942	0.0042711	0.00591967	0	0	0.00183417	0.0889456	0.0204861	0.0117371	0.0162188	0	0.110705	0.0170777	0.00371336	0.00766183	0.00548456	0	0	0.0339004	0.0348045	0	0.0225202	0	0.0124735	0.0864832	0.0357033	0.00132686	0.0594464	0	0	0	0.0105491	0.0206338	0.0631408	0.028103
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	0.0114991	0	0	0	0	0	0.00843133	0.00144089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00295307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0607803	0.0023606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259648	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109913	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_ASF356	0	0.00505744	0	0	0	0	0	0	0	0	0.00207355	0	0	0	0	0	0.00386768	0.0108663	0	0	0	0	0	0.00532295	0	0.00620521	0	0	0	0.00370883	0.00967288	0	0	0	0	0	0	0	0	0	0.00242286	0.00570873	0	0	0	0	0	0	0	0.00173138	0	0.00921953	0.00223722	0.00485136	0	0	0.00899967	0	0	0	0	0	0.0057302	0	0	0	0.00487158	0	0	0	0.00801451	0	0	0	0.00274626	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_ASF502	0	0.0246698	0.0144176	0.00887704	0.00595011	0	0.00692718	0.00436002	0.00466296	0.00681415	0.00543535	0.00563403	0	0.00250328	0.010565	0.00555017	0.00753579	0.00626432	0.00684678	0	0.00466038	0.00510597	0.00601927	0	0	0.0115242	0	0.00436313	0.0057404	0.00268399	0.0215316	0.0033628	0	0.00509828	0.0110478	0	0.0044207	0	0.00775114	0.00392909	0.00437248	0.00873891	0.00109533	0.0084818	0.00504956	0.00580035	0.00300894	0	0	0	0.00593694	0.0155009	0.00239668	0.0150579	0.00387683	0.00247194	0.0126224	0.0033588	0.0180153	0	0.00903002	0	0.00392118	0.00406736	0.0109038	0.00638943	0.00332871	0.00381393	0.00444431	0.00761755	0.00949128	0.00345932	0.00660479	0.0102431	0.00513755	0.00542736	0.0176621	0.00959758	0.0167079
UNINTEGRATED|g__Dorea.s__Dorea_sp_5_2	0.0144478	0.0333021	0.0288259	0.0217396	0.0166421	0.00665752	0.010996	0.00970898	0.00905161	0.00810494	0.00826571	0.0194017	0.0239042	0.0141147	0.0218825	0.0110543	0.00757232	0.0232171	0.0132873	0	0.00656065	0.00766871	0.0156046	0.010132	0.00975935	0.0108559	0.0190839	0.0170405	0.0130009	0.0157228	0.029372	0.0117631	0	0.00409615	0.0102368	0.0162661	0.010557	0.00558299	0.0113901	0.00509839	0.0156193	0.0080722	0.015512	0.01759	0.0117825	0.00378129	0.00869469	0.0225123	0.0119159	0	0	0.003956	0.00432594	0.00942255	0.0121105	0.0177956	0	0.00287455	0.0169178	0.0116582	0.0124424	0.0209134	0.0249757	0.00966125	0.015544	0.0102	0.00475949	0.0135796	0.0207967	0.00826945	0.00689209	0.00758455	0.00575136	0.021118	0.00953378	0.00921461	0.0174636	0.0153303	0.0192788
UNINTEGRATED|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000264599	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_cocleatum	0	0	0	0	0.0127703	0.0128023	0	0	0	0	0	0	0	0	0	0	0	0.0159797	0	0	0	0	0	0	0	0	0	0	0.0162055	0	0	0	0	0	0	0	0	0	0.0143217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00546109	0	0	0	0.0159706	0	0	0.0067737	0	0	0	0	0	0.0128951	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000436375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0.0242661	0	0	0	0	0	0	0	0.0257955	0	0	0	0.00191318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00745884	0.147436	0	0	0	0	0	0	0	0	0	0.00371264	0	0	0	0.00517814	0	0	0	0	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_14_2	0	0	0	0.0109688	0	0	0	0	0	0	0.0213386	0	0	0.0200175	0	0.00914721	0	0.00956627	0	0	0	0.0024312	0	0.106017	0.0301389	0.0178862	0.00476907	0.00766148	0	0.00124547	0.0103149	0.00100189	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00821248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00432517	0	0.00548724	0	0.00230675	0	0.00109121	0.0249819	0	0.00856632	0	0	0
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium	0	0	0	0	0	0	0	0	0	0.0237238	0	0.00112945	0	0	0	0	0	0.00687837	0	0	0.00855137	0	0	0	0	0.000593371	0.0124154	0	0	0	0	0	0.0183366	0	0	0.00579348	0	0.000671505	0	0	0	0	0.00111424	0	0.00113733	0	0	0	0	0	0.0147591	0	0.00900591	0	0	0.00106992	0.00385802	0	0	0	0	0	0	0.0109539	0	0.011724	0	0	0.00801684	0	0	0	0.0265857	0.00320643	0	0	0	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	0	0	0	0	0	0	0.00276797	0	0	0	0	0	0	0	0	0	0	0	0.00347775	0	0.00243858	0.0019681	0.00337232	0	0	0.00204963	0	0	0	0	0	0	0	0	0	0	0.00222515	0	0	0	0	0	0	0	0	0.0015196	0	0	0	0	0	0	0	0	0	0	0	0	0.00238298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185801	0	0	0	0	0
UNINTEGRATED|g__Helicobacter.s__Helicobacter_bilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0197204	0	0	0	0.00781446	0.00474431	0	0	0	0	0	0	0	0	0.00628214	0	0	0	0.0207073	0	0	0	0	0	0	0	0	0	0	0	0.021073	0	0	0	0	0	0	0	0	0	0	0	0	0.0184074	0.000392667	0	0	0	0.00764351	0	0	0	0	0	0	0.00921897	0.0130819	0	0	0
UNINTEGRATED|g__Helicobacter.s__Helicobacter_ganmani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017795	0	0	0	0	0	0	0	0	0.111916	0.115538	0	0	0	0	0
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	0.00165265	0	0	0	0.00287624	0	0.00439739	0	0	0	0	0	0	0	0	0.00150113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00152625	0	0	0	0.00742845	0	0.00350156	0	0	0.000784985	0	0	0	0	0	0	0	0	0.0259174	0	0	0.00431448	0	0	0.00440399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	0.0498374	0	0	0	0	0	0	0	0	0	0	0	0	0.0247262	0	0	0	0	0	0	0	0.0195275	0	0	0	0	0	0.0490227	0.0247515	0	0	0	0	0	0	0	0.0313393	0	0.0230372	0.0139061	0	0	0	0	0	0	0.118581	0	0.0419589	0	0	0	0	0	0	0	0	0	0	0.0450083	0	0	0	0	0	0	0.0156308	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	0	0	0	0	0	0	0	0	0.00486978	0	0	0	0	0	0	0.00358173	0	0	0.00621277	0	0.0524588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00690678	0	0	0.00807095	0	0	0	0.00410015	0	0.00184977	0	0	0.0104782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00209912	0.00137855	0.00376785	0.0108942	0	0	0
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0.0776559	0	0.0668436	0.0248294	0.0942042	0	0	0.2297	0.0465552	0.0705195	0.00511688	0.0195615	0.0239553	0.00982901	0.046227	0.00544685	0.0257548	0.00252264	0.00471825	0.0470425	0.00375747	0.00706467	0.270246	0.011024	0.0100939	0.00322151	0.102238	0.127861	0.0638748	0.00617685	0.00474687	0.203963	0.0845175	0.00335596	0.0329521	0.148245	0.0199749	0.18395	0.137761	0.00542296	0	0.0278537	0.070664	0.00698044	0	0.0244676	0.0924482	0.21179	0.00912296	0	0.0930996	0.00909869	0.00801881	0	0.0693704	0.0214714	0.00605528	0.00802832	0	0.149938	0.02031	0.298633	0.00240205	0.106357	0.0779952	0.0269643	0.0016399	0	0.224851	0.19551	0.030077	0.182719	0	0	0.0225771	0.00654044	0.19489	0.148498	0.20549
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000740696	0	0	0.0027228	0	0.00105774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2	0	0.00793347	0	0	0.00594203	0	0.00641455	0.018195	0.00585686	0	0.0085027	0	0.0200415	0.00479125	0.0127606	0.00625949	0.00566577	0.00294227	0.0118388	0	0.0470105	0.00631743	0.00627639	0.00967889	0.0145045	0.0145167	0.00284065	0	0	0.00728251	0.00893432	0.00700382	0	0.0140409	0.0191447	0	0.00588449	0	0	0.0063064	0.00712078	0.00976062	0.00500088	0.00377339	0.00729715	0.00138941	0	0	0.00443477	0.00844552	0	0.0131097	0.00799467	0.0125911	0	0.00777117	0.0176784	0.00650695	0	0	0.00503536	0.00618883	0.0103932	0.00468217	0	0	0.00186482	0.0375896	0	0.0103684	0.00849931	0.00393835	0.010054	0.00863014	0.00743831	0.0126844	0	0	0.00726152
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	0	0.017173	0	0	0	0	0.00543873	0.00756916	0	0	0.00173107	0	0	0	0	0.00351122	0	0	0	0	0	0.00277482	0.00533123	0.023071	0.00162261	0.00277361	0.000878235	0	0.00696088	0	0.00630097	0.00605156	0.020085	0	0	0	0	0	0	0	0	0	0.00204177	0.0637995	0	0.0162408	0	0.0153064	0	0.1047	0.000983041	0.00171611	0.00779028	0	0.0252923	0	0.00682266	0.00366542	0	0.00392257	0.0157006	0.0104249	0.13533	0.00914974	0.00738528	0.00368886	0.181888	0.00603666	0.00335944	0.00122107	0.00185773	0.0111443	0.00457859	0.00149614	0	0	0	0	0
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	0	0.0482995	0.00300185	0	0	0.00785772	0.0113998	0.00416182	0.0220425	0.00134974	0.0356845	0	0.00311449	0	0	0.16154	0.0256992	0.00518492	0.0183342	0	0.00270727	0.0268342	0.00328629	0.0630942	0.010514	0.00167837	0.00293806	0.000881145	0	0.047163	0.105616	0.00615816	0.00124788	0.00916192	0	0	0.0515012	0	0	0.20147	0.0784948	0.0347628	0.0059225	0.0677963	0.0185415	0.00142996	0.00037099	0	0.0799267	0.0518376	0	0.0412555	0	0.0512892	0.0014098	0	0	0	0.00888579	0	0.0507608	0.00305617	0.0599213	0.0045045	0	0	0.00844029	0.0162789	0	0.00801964	0.0627333	0.00159717	0.0119824	0.0101276	0.0603303	0.0895591	0	0	0
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1	0	0.0110781	0	0.00433178	0	0	0.00816349	0.00398182	0.00902736	0	0.0070593	0	0.0135819	0	0	0.0149557	0.0064408	8.37088e-05	0.0156629	0	0.000387392	0.00395805	0.000955493	0.026622	0.0130381	0.0332596	0.00165914	0.00179106	0.0015487	0.015841	0.00225369	0.00270098	0	0.0150805	0.00902656	0	0	0	0	0.00727613	0.0190469	0.0038354	0.00162564	0.00954154	0.0150661	0.0270331	0	0.00237991	0.0301809	0.00691326	0	0.00870923	0.00496454	0.0166311	0.00750696	0.00754977	0	0	0.0100559	0	0.00597893	0.0091978	0.0626458	0.00651733	0.0058267	0.00527266	0.00253668	0.034919	0	0.00539244	0.0110943	0.00383712	0	0	0.0109753	0.0148625	0	0	0
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_M18_1	0	0.00487286	0.00263986	0	0	0	0	0	0.00361287	0	0.00307127	0	0	0.00604267	0	0.00274427	0	0	0	0	0.00464099	0.00538686	0.00241399	0.00611719	0.00578953	0	0	0.00190957	0	0.00512684	0.0035396	0	0	0.00862799	0	0	0	0	0	0.00341174	0.0085505	0	0	0	0	0	0.00124257	0	0	0.00567064	0	0.0165149	0	0	0	0	0	0	0	0	0.0042174	0	0.0310806	0.00313625	0.00410003	0.00204587	0.00255447	0.00687608	0	0	0.00410613	0.00201243	0.0121535	0.00499106	0.00309687	0.00211523	0	0	0.000988443
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	0	0.00354326	0.00403252	0	0.000273024	0	0	0	0	0.000196352	0.00470171	0.00331177	0	0	0	0	0	0	0.000729083	0	0	0.000918006	0	0	0	0.00751968	0.00226735	0	0.000567313	0	0.00138042	0	0.005132	0	0	0	0.00150197	0	0	0.000482398	0	0	0	0	0.000172806	0	0	0	0	0	0	0.00191911	0	0	0	0	0.00691668	0	0	0	0	0	0	0.00015068	0	0.00442974	0	0	0	0.00021013	0	0	0	0	0.00366585	0.00408543	0	0	0.000888337
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	0	0	0.00423277	0	0.000578046	0	0.00622262	0.00113512	0.000915731	0.00318619	0.00645008	0.00230338	0	0.00323226	0	0.00130062	0.00200217	0.000963145	0.00072628	0	0	0.00266699	0	0	0.00137662	0.00200114	0	0.000446933	0.0112205	0.000556483	0.000735161	0.000685493	0	0.00162205	0.000714282	0	0.00776316	0	0.00899791	0.0108717	0.00937939	0.000536945	0.000706894	0.00185617	0	0.00558051	0	0.000631789	0	0.000733266	0	0	0	0	0.000150559	0.00115353	0.00476124	0.00121068	0.000561793	0	0.0103032	0	0.00366762	0.000367428	0	0.00104775	0.00718393	0.0119668	0.00126996	0.00122051	0.000331484	0.00199058	0	0	0.0109608	0.00524046	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0.00440312	0	0.00141845	0.0102733	0	0	0	0	0	0.00491711	0	0	0	0	0	0.00114874	0	0	0	0.0021491	0	0	0	0	0	0	0	0	0.000396178	0	0	0	0	0	0.0020399	0	0	0	0	0	0	0	0.00256303	0	0	0	0	0	0	0.000744059	0.000907659	0	0	0	0.00614439	0	0.00060005	0	0.00338686	0	0	9.70937e-05	0	0.00450332	0	0	0	0.000251818	0	0	0	0.00023747	0	0	0	0	0.00160223
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis	0.00186787	0	0.00711389	0.0126425	0.0420475	0.0160814	0	0.00233393	0	0	0	0	0	0.00187808	0	0	0	0.00565109	0	0	0	0	0	0	0	0	0	0.00546182	0.00805797	0	0	0.00336845	0.0361197	0	0.0108178	0.0123384	0	0.0160274	0.0387036	0	0	0	0.0451209	0	0	0	0.0042384	0.0400905	0	0	0	0	0.00261485	0	0.00526577	0.013164	0	0	0	0	0	0.000772973	0	0.00604058	0.000392864	0.00720283	0	0	0.00111536	0.0138554	0	0.0135286	0	0	0	0	0	0.0185901	0.00382923
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	0.049463	0	0	0	0.0224508	0	0	0	0.0122814	0	0	0	0	0.0161535	0.0276138	0.00480133	0.0137948	0	0	0	0	0	0.0645584	0.010711	0.0218196	0.00997567	0	0	0.0509123	0.0106061	0	0	0	0.0112446	0.043095	0.0280988	0	0	0.0120592	0	0.0256504	0.0194538	0	0.0166954	0	0.00376275	0	0.0508607	0	0.0190597	0	0	0	0.0237832	0.0800202	0	0.0523299	0.0546242	0.0129997	0.0137364	0.0082377	0	0.00859198	0.0102493	0	0	0.0100678	0.0086515	0	0.0303534	0	0.040334	0	0	0.00912328	0.00962925	0	0	0
UNINTEGRATED|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244647	0	0.00138876	0.00107397	0	0	0.00078391	0.00169855	0	0	0	0	0	0	0	0	0	0	0.00442971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00483356	0	0	0	0.00388863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00152473	0	0	0	0
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	0	0	0	0	0	0	0.000440485	0	0	0	0	0	0	0	0	0	0	0	0.00438065	0	0.0116991	0	0	0	0	0.00217476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194356	0.0048179	0	0	0	0.00435838	0	0.0013555	0	0	0	0	0.000562239	0	0	0	0	0	0	0.00323231	0	0.00209038	0.000322728	0	0	0	0	0
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00537224	0.00632711	0	0	0	0.0101103	0	0	0	0.00712822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00661302	0	0	0	0	0	0	0	0	0	0	0.0132685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00808377	0	0.0113756	0.00613122	0	0	0	0	0
