Pathway	C007	C008	C009	C012	C015	C016	C017	C020	C023	C025	C025_n	C025_r	C026	C027	C028	C029	C030	C030_r	C031	C033	C035	C036	C037	C039	C040	C042	C042_r	C043	C043_r	C045	C046	C047	C049	C050	C052	C053	C055	C057	C060	C061	C061_r	C063	C063_r	C065	C068	C070	C071	C072	C073	C075	C077	C079	C081	C082	C083	C084	C084_r	C085	C085_n	C086	C089	C089_n	C090	C093	C094	C095	C096	C097	C099	C100	C101	C102	C103	C104	C105	C108	C109	C110	C112	C113	C114	C115	C116	C117	C118	C119	C124	C126	C127	C128	C129	C133	C134	C135	C142	C143	C144	C145	C146	C147	C148	C149	C150	C151	C152	C153	C154	C155	C156	C157	C158	C159	C160	C162	C163	C164	C165	C166	C167	C168	C169	C170	C172	C173	C174	C175	C176	C178	C179	C180	C181	C182	C183	C184	C185	C186	C187	C188	C190	C191	C196	C197	C198	C199	C200	C201	C202	C203	C204	C205	C206	C207	C208	C209	C210	C211	C212	C213	C214	C215	C216	C217	C218	C219	C220	C221	C222	C223	C224	C225	C226	C227	C228	C229	C230	C232	C233	C234	C235	C237	C238	C240	C241	C242	C243	C244	C245	C246	C247	C248	C249	C250	C251	C252	C253	C254	C256	C257	C259	C260	C261	C262	C263	C264	C265	C266	C267	C268	C269	C270
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Acutalibacter.s__Acutalibacter_muris	0	4.69E-06	0	2.51E-06	1.48E-06	4.56E-07	1.04E-05	9.19E-06	0	0	0	4.65E-07	3.83E-05	0	2.08E-05	0	2.97E-06	3.32E-06	7.55E-06	6.70E-06	5.06E-06	0	0	1.29E-05	4.67E-06	0	0	0	0	4.07E-06	6.68E-06	0	1.44E-06	1.62E-05	0	6.50E-07	4.01E-06	0	0	2.41E-05	2.25E-05	2.50E-05	2.61E-05	0	5.39E-06	0	0	1.45E-05	0	1.67E-06	4.32E-06	2.26E-05	1.11E-06	6.46E-06	0	0	0	0	0	6.23E-07	3.30E-06	4.51E-06	0	0	8.79E-06	0	0	0	1.56E-06	0	0	0	5.78E-06	0	2.20E-06	3.89E-06	0	0	6.56E-06	0	0	0	0	0	0	1.06E-05	0	1.30E-05	2.93E-06	1.46E-05	3.50E-05	0	1.54E-05	1.30E-06	0	3.49E-05	8.86E-06	0	0	0	3.14E-06	0	5.10E-06	0	0	0	1.48E-05	7.14E-06	1.42E-05	0	0	7.78E-07	0	0	0	0	0	0	0	0	6.80E-06	0	0	1.28E-05	0	0	4.14E-06	0	0	0	0	1.11E-05	0	0	0	7.36E-06	0	3.10E-05	0	1.32E-05	0	0	0	0	0	0	0	1.10E-05	0	0	0	1.16E-05	1.48E-05	0	1.66E-05	7.64E-06	5.51E-06	0	0	3.78E-05	0	8.50E-06	6.41E-06	0	0	0	0	2.16E-06	1.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41E-05	1.36E-05	0	9.38E-06	0	0	8.23E-06	0	2.34E-06	0	6.80E-06	0	0	0	0	0	1.81E-05	0	0	0	0	0	0	8.19E-06	1.94E-06	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0	0	4.61E-07	0	0	0	0	0	0	0	0	0	0	0	1.01E-06	0	0	0	0	0	5.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-06	1.30E-06	1.08E-06	0	0	0	0	0	0	0	0	0	7.42E-07	0	2.85E-06	0	0	0	4.78E-06	0	0	0	0	0	0	0	0	0	9.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37E-06	0	4.85E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45E-06	1.33E-06	0	0	0	0	0	0	0	0	0	0	0	0	2.82E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Brevundimonas.s__Brevundimonas_diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Clostridium.s__Clostridium_sp_ASF356	0	7.84E-07	0	0	0	0	0	0	0	0	0	0	0	1.00E-06	0	0	0	0	0	0	6.61E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-06	0	1.40E-06	1.44E-06	0	0	0	0	0	0	0	0	0	0	1.21E-06	0	0	0	0	0	0	0	0	0	0	4.34E-06	0	0	0	2.52E-06	0	0	0	2.86E-06	0	0	0	0	1.63E-06	0	8.48E-06	0	0	5.59E-06	0	0	0	0	0	3.96E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-06	0	0	0	0	0	0	0	0	0	4.24E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Clostridium.s__Clostridium_sp_ASF502	0	3.36E-06	2.85E-06	0	0	0	0	0	0	5.16E-07	9.34E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32E-06	0	0	0	0	0	0	0	0	0	0	4.22E-06	0	0	0	1.42E-06	1.37E-06	3.68E-06	3.19E-06	0	0	1.40E-06	0	0	0	0	0	0	0	2.08E-06	0	0	0	0	0	7.74E-07	0	0	0	6.38E-06	0	0	4.63E-06	5.38E-06	0	1.14E-06	0	0	0	0	1.39E-06	0	0	0	0	0	0	0	2.83E-06	0	0	0	0	0	0	6.38E-06	0	1.01E-06	0	6.24E-07	0	3.02E-06	0	0	0	0	0	0	1.90E-06	0	0	0	0	1.07E-06	0	0	0	1.69E-06	0	0	2.73E-06	0	0	1.52E-06	0	0	1.50E-06	0	0	3.20E-06	0	0	0	0	0	0	0	1.20E-06	0	0	0	0	3.34E-06	2.71E-06	0	0	0	2.17E-06	3.13E-06	0	0	0	0	0	0	0	0	0	7.80E-07	0	7.15E-07	0	0	0	2.51E-06	1.68E-06	0	0	8.87E-07	1.42E-06	0	1.00E-06	0	7.27E-07	0	0	0	3.26E-06	0	5.95E-06	0	0	0	2.48E-06	0	0	0	0	0	0	0	3.07E-06	0	0	2.20E-06	1.48E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.35E-07	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Dorea.s__Dorea_sp_5_2	0	6.07E-06	1.84E-06	2.35E-06	0	0	0	1.86E-06	9.38E-07	0	5.18E-07	0	0	2.32E-06	1.11E-06	0	0	0	4.70E-07	5.61E-07	0	1.49E-06	1.01E-06	1.10E-06	4.84E-06	0	0	0	0	0	0	0	0	0	1.98E-06	3.18E-06	0	3.14E-06	0	1.65E-06	1.46E-06	0	0	0	0	1.10E-06	0	0	0	1.75E-06	3.68E-06	0	0	0	1.22E-06	0	0	0	0	3.19E-07	5.81E-07	6.43E-07	8.60E-07	3.23E-06	4.68E-06	0	0	0	2.24E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47E-06	6.27E-06	4.11E-06	0	0	0	0	1.96E-06	2.77E-06	0	0	0	5.22E-06	0	2.16E-06	5.13E-06	0	0	0	0	1.20E-06	0	0	1.04E-06	0	0	0	0	0	2.94E-06	0	0	1.71E-06	2.26E-06	0	0	0	0	1.70E-06	0	0	0	0	0	0	0	0	0	0	1.63E-06	0	1.45E-06	5.93E-06	5.06E-06	2.56E-06	4.61E-06	0	1.33E-06	0	2.53E-06	0	0	0	0	0	0	2.95E-06	0	1.55E-06	5.30E-06	7.37E-06	3.91E-06	0	2.50E-06	0	0	1.03E-06	0	0	5.19E-07	0	0	0	0	3.20E-06	1.45E-06	0	0	0	6.65E-06	0	0	0	0	0	0	0	2.88E-06	0	0	0	3.80E-06	6.79E-07	0	3.35E-06	0	7.33E-06	0	0	0	1.51E-06	6.52E-06	0	0	0	0	0	0	1.96E-06	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Enterococcus.s__Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0	0	0	0	0	0	0	1.20E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21E-05	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	0	1.32E-06	6.02E-06	0	0	0	0	0	6.77E-05	0	0	6.43E-07	0	5.36E-06	0	0	0	0	0	0	0	0	0	0	0	1.15E-05	1.61E-05	0	0	0	0	0	1.79E-06	0	0	1.46E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74E-05	0	0	2.85E-05	0	0	0	0	0	0	0	0	0	0	0	3.02E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.24E-06	3.48E-05	0	0	0	0	0	0	0	1.22E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000241563	0	7.07E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50E-06	0	0	0	1.33E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44E-06	5.81E-06	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Eubacterium.s__Eubacterium_sp_14_2	0	0	0	0	0	0	0	3.60E-06	0	0	0	0	0	0	0	0	0	0	0	5.78E-06	2.04E-06	0	0	0	0	0	0	0	0	3.35E-06	0	0	0	0	0	0	6.16E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88E-06	0	0	1.65E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38E-06	0	0	0	0	0	0	0	0	2.65E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-06	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Faecalibaculum.s__Faecalibaculum_rodentium	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05E-06	0	0	9.99E-07	1.40E-06	0	0	0	3.63E-06	0	0	0	3.14E-06	3.00E-06	0	0	0	0	0	0	0	0	0	0	0	4.44E-06	0	0	0	0	0	0	0	0	0	1.86E-06	0	0	0	0	0	0	0	0	1.98E-06	2.02E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.08E-06	0	0	0	0	0	0	0	0	0	0	0	4.05E-06	0	0	0	0	0	0	3.46E-06	0	0	0	0	3.72E-06	0	0	0	3.90E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.99E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	0	0	0	6.90E-06	1.13E-05	0	0	7.87E-06	0	4.63E-06	6.39E-06	6.61E-06	4.58E-06	7.53E-06	6.50E-06	0	1.03E-05	9.93E-06	1.36E-05	4.25E-06	0	0	0	4.17E-06	0	0	0	8.25E-06	9.87E-06	9.17E-06	8.61E-06	0	0	6.49E-06	0	0	0	0	0	3.38E-06	0	0	0	0	0	0	7.98E-06	0	0	0	0	0	8.22E-06	8.90E-06	0	0	0	1.03E-05	7.06E-06	8.38E-06	8.77E-06	9.26E-06	6.88E-06	0	0	0	0	0	0	1.22E-05	5.28E-06	1.03E-05	0	0	6.28E-06	0	0	0	8.63E-06	0	0	0	0	0	0	1.59E-05	0	0	0	0	0	0	6.96E-06	3.80E-06	0	5.32E-06	6.85E-06	0	0	9.78E-06	0	0	0	9.24E-06	0	0	9.65E-06	1.08E-05	3.00E-06	0	0	8.80E-06	0	0	0	0	0	0	7.13E-06	0	8.31E-06	0	0	0	5.21E-06	0	4.79E-06	1.60E-05	0	0	0	5.68E-06	0	4.13E-06	0	7.86E-06	0	8.67E-06	6.65E-06	4.67E-06	0	6.74E-06	0	0	0	0	0	9.48E-06	6.61E-06	0	0	0	6.98E-06	0	0	0	0	0	0	0	0	0	9.37E-06	4.36E-06	0	4.46E-06	1.00E-05	9.02E-06	7.99E-06	0	7.04E-06	0	0	7.22E-06	0	0	0	7.58E-06	0	0	0	0	0	0	0	7.08E-06	0	0	6.07E-06	8.29E-06	5.86E-06	0	0	0	0	0	0	0	0	0	0	0	2.91E-06	0	0	0	1.43E-05	0	1.11E-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Helicobacter.s__Helicobacter_typhlonius	0	0	0	0	0	0	0	0	2.76E-05	0	0	0	0	0	0	0	0	0	2.69E-05	0	0	0	0.000103176	0	0	0	0	0	0	0	2.86E-05	0	1.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.36E-05	0	0	0	2.19E-05	0	2.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81E-05	0	0	6.52E-06	0	0	0	0	0	0	0	0	0	0	0.000101644	0	0	0	8.21E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54E-05	0	0	0	0	0	0	0	2.53E-05	2.13E-05	0	4.57E-05	0	2.80E-06	0	0	0	0	0	0	0	0	2.22E-05	0	3.20E-05	7.00E-05	0	0	0	2.32E-05	0	4.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	2.47E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	0	0	0	0	7.97E-07	0	0	0	0	6.22E-06	3.26E-06	6.16E-06	0	0	1.49E-06	0	3.98E-05	3.22E-05	0	0	0	0	0	0	0	0	0	0	0	1.85E-06	3.77E-06	0	4.91E-06	0	0	3.46E-06	1.95E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91E-06	2.62E-06	8.55E-07	0	0	6.73E-06	0	3.44E-05	0	8.27E-06	0	4.41E-06	2.71E-06	0	7.31E-06	0	0	2.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35E-05	0	2.19E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.17E-06	0	0	0	0	0	1.44E-06	0	0	0	0	0	0	0	0	1.09E-06	0	0	0	2.44E-06	0	0	8.33E-06	0	0	0	0	0	0	0	0	0	0	0	7.77E-07	0	0	0	0	0	5.08E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90E-06	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0	0	1.12E-05	0	0	0.000127906	2.08E-06	0	0	1.78E-06	0	2.20E-06	5.69E-05	0	0	1.25E-05	1.28E-06	1.50E-06	2.51E-06	0	0	3.46E-05	7.97E-05	0	0	2.58E-05	2.91E-05	1.46E-06	0	3.83E-05	1.03E-05	8.84E-05	1.49E-06	0	2.80E-05	4.26E-06	3.73E-05	5.21E-05	3.37E-05	5.02E-06	4.72E-06	0	0	3.53E-06	0	1.67E-05	7.71E-05	0	5.69E-05	0.000180146	0	0	7.35E-05	1.29E-05	7.69E-05	8.61E-05	8.85E-05	0	0	0	6.48E-06	5.87E-06	1.24E-06	0.000114353	0	9.57E-05	5.51E-06	0	0	0	0	7.50E-06	0	9.31E-05	0	0	0.000116772	0	0	0	7.38E-05	3.36E-06	0	0	0.000116197	0	1.24E-05	7.14E-05	2.51E-06	0	0	0	0	0	0	0	0	0.000147035	3.58E-05	0	0	0	0	0	6.91E-06	7.91E-05	0	0	0	7.20E-05	2.73E-05	0	2.45E-05	5.35E-05	0	8.59E-05	6.20E-05	4.02E-05	1.99E-06	0	0	8.76E-05	0	0	4.12E-06	6.97E-06	1.87E-06	0	0	0	3.39E-05	1.29E-06	1.72E-05	0	9.32E-05	0	0	1.52E-06	6.24E-05	0	0	7.48E-06	0	0	0.000221998	0	9.45E-05	0	0	8.04E-05	0.00012603	0	0	0.000144993	0	0	0	1.74E-05	1.96E-05	1.19E-05	0.000123065	0	0	0	0.00010486	1.64E-06	6.31E-05	0	0	1.60E-05	0	0.00010904	6.06E-05	7.11E-06	0	0	0	0	0	8.63E-05	9.31E-05	2.37E-05	0	0	8.84E-05	0	0	9.29E-06	7.47E-07	0	0	0	1.07E-05	2.20E-06	0	0.000130773	2.21E-05	6.93E-05	0	0.000100274	0	2.15E-06	1.53E-05	0.000111545	3.53E-05	4.77E-05	7.00E-06	8.90E-05	0	0.000136065
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2	0	0	0	0	0	1.22E-06	0	1.42E-06	0	0	7.32E-07	5.45E-07	1.02E-06	0	1.56E-06	6.53E-07	4.11E-06	3.82E-06	0	8.69E-07	0	0	0	0	0	0	0	1.76E-06	0	0	0	0	0	0	0	0	0	0	0	1.22E-06	0	9.42E-07	0	0	0	0	0	0	0	2.53E-06	0	2.20E-06	2.63E-06	1.68E-06	0	0	0	0	0	0	0	0	2.34E-06	0	0	0	0	0	0	1.03E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.86E-06	0	0	0	0	1.14E-06	2.08E-06	0	3.55E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82E-06	0	0	0	0	0	0	0	3.04E-06	2.21E-06	0	0	0	0	4.59E-07	0	0	0	1.93E-06	0	3.55E-06	0	0	0	0	5.29E-06	0	0	3.68E-06	0	0	0	0	0	0	2.22E-06	0	0	0	0	0	0	0	0	4.00E-06	3.04E-06	0	3.14E-06	0	0	0	0	0	0	0	0	0	0	1.72E-06	0	2.34E-06	0	0	1.41E-06	9.43E-07	0	0	0	0	0	0	7.64E-06	0	0	0	0	8.70E-07	0	2.48E-06	2.88E-07	0	1.01E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E-06	0	0	0	0	5.73E-07	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	0	1.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.89E-07	0	0	0	0	0	0	0	0	0	7.43E-06	0	0	0	0	0	3.81E-06	5.94E-06	0	0	0	0	0	0	0	0	0	0	3.28E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16E-06	1.49E-06	0	0	0	0	0	0	0	0	0	0	2.48E-06	1.80E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.17E-06	0	0	0	3.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.08E-06	0	0	0	0	3.30E-05	0	6.36E-06	0	0	0	0	0	0	0	0	0	0	6.44E-06	0	0	2.22E-06	0	0	0	0	0	0	5.62E-06	0	0	0	6.99E-07	0	0	3.09E-06	0	0	0	0	0	0	0	0	0	0	7.49E-06	0	0	0	2.55E-06	0	0	0	5.04E-06	0	0	0	0	0	0	0	0	4.01E-06	0	0	0	0	0	0	5.95E-06	0	0	0	0	0	0	2.71E-06	0	0	0	1.58E-06	6.22E-06	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	0	3.32E-05	0	3.71E-05	2.86E-07	0	0	8.28E-06	0	1.82E-05	6.70E-05	1.88E-05	3.29E-06	0	8.80E-07	0	0	0	4.49E-06	4.18E-06	0	0	0	2.02E-05	4.19E-05	0	0	6.29E-07	0	0	1.58E-05	0	8.01E-05	2.72E-05	0	3.00E-05	6.97E-07	0	0	9.97E-06	1.04E-05	3.45E-05	3.99E-05	0	0	1.56E-05	0	3.74E-05	0	0	5.39E-05	3.98E-06	0	2.52E-05	0	0	0	9.56E-06	1.29E-05	5.81E-06	0	0	7.35E-05	0	5.47E-06	0	2.42E-05	9.19E-06	2.86E-06	3.10E-05	2.35E-05	0	4.15E-06	0	7.22E-06	1.51E-05	0	1.34E-05	1.89E-06	0	8.63E-06	2.67E-06	0	0	0	0	0	0	4.31E-05	2.85E-05	4.62E-05	3.69E-06	3.53E-05	7.23E-06	0	7.73E-06	4.22E-05	0	0	3.61E-05	7.72E-06	0	3.76E-05	0	0	0	0	1.65E-05	4.50E-05	0	0	7.85E-05	0	0	0	0	0	0	0	0	4.23E-05	0	0	0	1.49E-05	2.80E-05	4.37E-05	0	1.85E-05	1.03E-05	0	1.40E-05	0	2.24E-06	0	5.04E-05	0	0	0	0	0	1.13E-06	3.85E-05	0	0	0	0	3.67E-05	6.42E-05	0	0	2.67E-06	2.32E-05	0	1.28E-05	0	5.79E-05	0	0	1.24E-05	0	9.23E-05	4.74E-07	4.45E-05	0	4.75E-05	0	8.29E-06	8.99E-06	0	1.15E-05	0	0	2.16E-05	0	0	0	0	0	0	0	0	0	4.66E-06	0	2.43E-05	0	2.17E-05	3.21E-05	0	7.46E-06	0	3.86E-05	3.49E-05	0	0	0	0	9.28E-06	0	0	0	0	0	0	6.02E-06	1.77E-05	0	0	0
